id,raw_term,term,reading,definition,pitch_accent,affix_type,lesson_id
deaffe30-55d4-45c0-a09a-e2b552e1361f,スカイプ,スカイプ,スカイプ,Skype,2,none,7
774f2354-f2ee-4f24-ab0c-f102206674a5,同じ,同じ,おなじ,一樣的；相同的,0,none,7
7d5aef64-fb20-4310-aa84-382156c3ee70,結婚します,結婚します,けっこんします,結婚,6,none,7
2f707862-45db-4581-97ea-71ee9de74b42,喧嘩します,喧嘩します,けんかします,吵架；打架,5,none,7
f1d22627-e77e-4944-b42a-5bd0abfe183a,強い,強い,つよい,強的,2,none,7
2d7676e4-6805-4aa0-b742-be833b49da8b,チーム,チーム,チーム,隊伍；團體,1,none,7
e42ffded-959e-40e6-8f63-2dae7ca61b15,試合,試合,しあい,比賽,0,none,7
1d342e66-b3f6-4bf3-9488-f021756a0352,恋人,恋人,こいびと,另一半；情侶,0,none,7
c2ae23a5-2784-452d-b1db-c3fefd817888,デートします,デートします,デートします,約會,5,none,7
9d4026b5-3fdd-4df3-93c1-7c672466344a,別れます,別れます,わかれます,分開；離別；分手,4,none,7
3e1bca41-ab2e-459f-8604-87221aa6bd27,相談します,相談します,そうだんします,諮詢；商量,6,none,7
7f431dcd-a311-41db-86f1-442dab4eec47,会います,会います,あいます,見面,3,none,7
f223493f-269b-403a-b4f9-ff6c0fef8c40,似ています,似ています,にています,相似；像,4,none,7
e60d1d41-f350-4c46-8072-2b9df12f01fb,違います,違います,ちがいます,不一樣；不同,4,none,7
eca79f11-8cef-4b1a-b860-ee53e924dcbe,年,年,とし,年齡,2,none,7
f83d7cf7-24b7-4b2a-b09f-5fd4d1215824,うちわ,うちわ,うちわ,團扇,2,none,7
85f37894-8384-4830-8f20-aa807752df22,扇子,扇子,せんす,摺扇,0,none,7
c8c6e688-525c-470d-80d0-b9f67b4da470,草履,草履,ぞうり,草鞋,0,none,7
c8355088-7845-493a-aebb-b441887b9cfc,下駄,下駄,げた,木屐,0,none,7
565c52dc-8752-4c88-9099-50e87f34c23c,ほしい,ほしい,ほしい,想要的,2,none,7
708e37dd-8a79-4b8b-9431-644b26d521ff,不便,不便,ふべん,不便的,1,none,7
75e45ae7-efa4-4f1b-87fb-7ffb6ee05c14,プール,プール,プール,泳池,1,none,7
63d45ddb-cd02-4232-aabc-01d3c73a2273,泳ぎます,泳ぎます,およぎます,游泳,4,none,7
d273b9ba-620c-4a42-a989-6ceab161f889,アニメ,アニメ,アニメ,動畫,1,none,7
a2085e59-2df1-4da9-8ff9-831dcbd0c5e5,とき,とき,とき,時候；時間,2,none,7
7eb23675-05e8-4f5a-a61a-7fb868cb96f6,歌います,歌います,うたいます,唱,4,none,7
16f21369-1ec0-438a-bc4a-fcf47fca6f15,寂しい,寂しい,さびしい,寂寞的；空虛的,3,none,7
2e9878a3-b70c-487d-a816-9e94fb0883bb,病気,病気,びょうき,疾病；生病,0,none,7
d248b5ca-1616-4a7b-a4cd-b54e32f29733,それはよかったですね,それはよかったですね,それはよかったですね,那真是太好了,-1,none,7
51d84c0d-4b41-422a-937d-54a6db42afe2,～前,前,まえ,～前,-1,suffix,7
e51d8229-733f-4548-beb6-96966e52e408,毎月,毎月,まいつき,每個月,0,none,7
aa9d7418-d1c3-4d07-8f4e-ecc5b2cb4eb5,奨学金,奨学金,しょうがくきん,獎學金,0,none,7
5b1ea595-ab8f-425d-8b55-7a9341d6439a,友達になります,友達になります,ともだちになります,成為朋友；當朋友,-1,none,7
936900f0-e6e4-420c-b15f-6f817436c597,戦争,戦争,せんそう,戰爭,0,none,7
d5046df5-ea50-4a76-8e25-a0a98b488b6e,わかります,わかります,わかります,懂；會；知道,4,none,8
b037a50c-0d84-48e5-8c12-6b35387595c8,待ちます,待ちます,まちます,等,3,none,8
9a926c70-f3d0-4384-8bd9-b1df1d6e5baf,遊びます,遊びます,あそびます,玩,4,none,8
ae301ec8-07a6-41fd-86c1-357717c5a4e6,死にます,死にます,しにます,死,3,none,8
1f20a459-7729-4a3f-8ef9-1488efd900c7,大学院,大学院,だいがくいん,研究所,4,none,8
d2534198-5ef1-4725-bc31-f897df2a3121,決めます,決めます,きめます,決定,3,none,8
66581918-fccd-422e-81fc-e23a8c6b23cf,まだ,まだ,まだ,還(未)；尚(未),1,none,8
4787dc82-1149-4487-ad11-cf7528c237cd,登ります,登ります,のぼります,爬；攀爬,4,none,8
2a17ab32-7c1c-4cb9-bb5a-20221a606046,なります,なります,なります,變；成為；當,3,none,8
c27178a9-bc4d-4fbb-bc4b-3b2c073963bb,DVD,DVD,ディーブイディー,DVD,5,none,8
b61d6f89-a597-4f7d-bd5b-bd52dafd9838,漫画,漫画,まんが,漫畫,0,none,8
645e05df-a12b-4778-9914-09d9aa30d211,大変,大変,たいへん,辛苦的；嚴重的；糟糕的,0,none,8
20ce1cef-1a47-402e-bd2f-137916a842e6,雨,雨,あめ,雨,1,none,8
d04ed8ad-3cb8-4007-bd39-7d1929f80e37,外国語,外国語,がいこくご,外文,0,none,8
d3de1ba4-80c8-4fe5-88d1-e010412286a3,会,会,かい,聚會；集會,1,none,8
39e0819f-347a-47af-88d6-200892ef3b90,コート,コート,コート,球場,1,none,8
22d62e77-aebc-4db4-8380-70f76e82234d,有名,有名,ゆうめい,有名的,0,none,8
632f4a14-45e7-45a3-871f-335e6bd3704e,オリンピック,オリンピック,オリンピック,奧林匹克運動會,4,none,8
88b4a7a9-72eb-485a-94ba-14aed592b170,フリーマーケット,フリーマーケット,フリーマーケット,跳蚤市場,4,none,8
6f4fff5b-e5b9-4a70-bbdb-1b50c94d0448,棚,棚,たな,架子；櫃子,0,none,8
1ec79a67-968b-4206-8a59-5d4bef2df0ed,講義,講義,こうぎ,講座；講解；課,1,none,8
b68985b7-05aa-4e9c-81b5-e528556f1a16,神社,神社,じんじゃ,神社,1,none,8
643447f4-99a9-48d3-ae51-ca5f4bff051a,祭り,祭り,まつり,祭典；慶典,0,none,8
b4c4198a-f994-4830-af27-a29bc1d95023,今度の,今度の,こんどの,這次的；下次的,1,none,8
5a00f766-96f8-47c8-8217-48848b05e91f,ちょっと,ちょっと,ちょっと,有點(不便)(表婉拒),1,none,8
fcb335c2-24c7-439e-8317-25512d929c53,東京タワー,東京タワー,とうきょうたわー,東京鐵塔,5,none,8
f8c30ffd-bad6-47ac-ab74-fa67d8648616,秋葉原,秋葉原,あきはばら,秋葉原(地名),3,none,8
e9b7de47-1d7e-40ff-9019-5163ec6504a1,東京ドーム,東京ドーム,とうきょうどーむ,東京巨蛋,5,none,8
6cfaf031-024c-46b9-9d6f-001900ada6d3,ディズニーランド,ディズニーランド,ディズニーランド,迪士尼樂園,5,none,8
d20249c1-f835-4dca-8196-ef037bccc090,成田空港,成田空港,なりたくうこう,成田機場,4,none,8
88e83ffa-4bbe-46f7-9fb1-3fcd61bd1a78,両国,両国,りょうごく,兩國(地名),0,none,8
44a17155-1baa-45c6-ab71-fe38beb4c1d4,舞浜,舞浜,まいはま,舞濱(地名),0,none,8
426f077e-79c9-4846-bf6b-bdd4552650cc,皇居,皇居,こうきょ,皇居,1,none,8
16d26be0-57d0-463b-ae7e-01ed2c4a841b,新橋,新橋,しんばし,新橋(地名),1,none,8
689a0514-5f7c-433d-8a55-f6164bfe0625,浜松町,浜松町,はままつちょう,濱松町(地名),4,none,8
