"單　　字","讀　　音","重音","中　文　翻　譯","課","句型","詞性","動詞
分類","動詞
辭書形","辭書形
重音","","","","","","","","",""
"相談します","そうだんします","6","諮詢；商量","7","07-5","動詞","3","相談する","0","","","","","","","","",""
"会います","あいます","3","見面","7","07-5","動詞","1","会う","1","","","","","","","","",""
"似ています","にています","4","相似；像","7","07-5","動詞","2","似る*","0","","","","","","","","",""
"違います","ちがいます","4","不一樣；不同","7","07-5","動詞","1","違う","0","","","","","","","","",""
"年","とし","2","年齡","7","07-5","名詞","-","-","-","","","","","","","","",""
"うちわ","-","2","團扇","7","07-5","名詞","-","-","-","","","","","","","","",""
"扇子","せんす","0","摺扇","7","07-5","名詞","-","-","-","","","","","","","","",""
"草履","ぞうり","0","草鞋","7","07-5","名詞","-","-","-","","","","","","","","",""
"下駄","げた","0","木屐","7","07-5","名詞","-","-","-","","","","","","","","",""
"ほしい","-","2","想要的","7","07-7","イ形容詞","-","-","-","","","","","","","","",""
"不便","ふべん","1","不便的","7","07-7","ナ形容詞","-","-","-","","","","","","","","",""
"プール","-","1","泳池","7","07-7","名詞","-","-","-","","","","","","","","",""
"泳ぎます","およぎます","4","游泳","7","07-7","動詞","1","泳ぐ","2","","","","","","","","",""
"アニメ","-","1","動畫","7","07-7","名詞","-","-","-","","","","","","","","",""
"とき","-","2","時候；時間","7","07-9","名詞","-","-","-","","","","","","","","",""
"歌います","うたいます","4","唱","7","07-9","動詞","1","歌う","0","","","","","","","","",""
"寂しい","さびしい","3","寂寞的；空虛的","7","07-9","イ形容詞","-","-","-","","","","","","","","",""
"病気","びょうき","0","疾病；生病","7","07-9","名詞","-","-","-","","","","","","","","",""
"それはよかったですね","-","-","那真是太好了","7","07-c","句子","-","-","-","","","","","","","","",""
"～前","～まえ","-","～前","7","07-g","前綴","-","-","-","","","","","","","","",""
"毎月","まいつき","0","每個月","7","07-g","名詞","-","-","-","","","","","","","","",""
"奨学金","しょうがくきん","0","獎學金","7","07-g","名詞","-","-","-","","","","","","","","",""
"友達になります","ともだちになります","-","成為朋友；當朋友","7","07-g","詞組","-","-","-","","","","","","","","",""
"戦争","せんそう","0","戰爭","7","07-g","名詞","-","-","-","","","","","","","","",""
"わかります","-","4","懂；會；知道","8","08-1","動詞","1","わかる","2","","","","","","","","",""
"待ちます","まちます","3","等","8","08-1","動詞","1","待つ","1","","","","","","","","",""
"遊びます","あそびます","4","玩","8","08-1","動詞","1","遊ぶ","0","","","","","","","","",""
"死にます","しにます","3","死","8","08-1","動詞","1","死ぬ","0","","","","","","","","",""
"大学院","だいがくいん","4","研究所","8","08-1","名詞","-","-","-","","","","","","","","",""
"決めます","きめます","3","決定","8","08-1","動詞","2","決める","0","","","","","","","","",""
"まだ","-","1","還(未)；尚(未)","8","08-1","副詞","-","-","-","","","","","","","","",""
"登ります","のぼります","4","爬；攀爬","8","08-1","動詞","1","登る","0","","","","","","","","",""
"なります","-","3","變；成為；當","8","08-1","動詞","1","なる","1","","","","","","","","",""
"DVD","ディーブイディー","5","DVD","8","08-1","名詞","-","-","-","","","","","","","","",""
"漫画","まんが","0","漫畫","8","08-1","名詞","-","-","-","","","","","","","","",""
"大変","たいへん","0","辛苦的；嚴重的；糟糕的","8","08-1","ナ形容詞","-","-","-","","","","","","","","",""
"雨","あめ","1","雨","8","08-1","名詞","-","-","-","","","","","","","","",""
"外国語","がいこくご","0","外文","8","08-2","名詞","-","-","-","","","","","","","","",""
"会","かい","1","聚會；集會","8","08-2","名詞","-","-","-","","","","","","","","",""
"コート","-","1","球場","8","08-2","名詞","-","-","-","","","","","","","","",""
"有名","ゆうめい","0","有名的","8","08-2","ナ形容詞","-","-","-","","","","","","","","",""
