term,reading,pitch_accent,definition,lesson_id,句型,詞性,"動詞
分類","動詞
辭書形","辭書形
重音",,,,,,,,,
CD,シーディー,3,CD,1,01-g,名詞,-,-,-,,,,,,,,,
あなた,-,2,你,1,01-g,代名詞,-,-,-,,,,,,,,,
～ちゃん,-,-,(親暱稱呼),1,01-g,後綴,-,-,-,,,,,,,,,
机,つくえ,0,書桌,1,01-g,名詞,-,-,-,,,,,,,,,
ここ,-,0,這裡,2,02-1,代名詞,-,-,-,,,,,,,,,
そこ,-,0,(你)那裡,2,02-1,代名詞,-,-,-,,,,,,,,,
あそこ,-,0,那裡,2,02-1,代名詞,-,-,-,,,,,,,,,
図書館,としょかん,2,圖書館,2,02-1,名詞,-,-,-,,,,,,,,,
大学,だいがく,0,大學,2,02-1,名詞,-,-,-,,,,,,,,,
体育館,たいいくかん,4,體育館,2,02-1,名詞,-,-,-,,,,,,,,,
寮,りょう,1,宿舍,2,02-1,名詞,-,-,-,,,,,,,,,
教室,きょうしつ,0,教室,2,02-1,名詞,-,-,-,,,,,,,,,
事務室,じむしつ,2,辦公室,2,02-1,名詞,-,-,-,,,,,,,,,
研究室,けんきゅうしつ,3,研究室,2,02-1,名詞,-,-,-,,,,,,,,,
会議室,かいぎしつ,3,會議室,2,02-1,名詞,-,-,-,,,,,,,,,
食堂,しょくどう,0,食堂,2,02-1,名詞,-,-,-,,,,,,,,,
レストラン,-,1,餐廳,2,02-1,名詞,-,-,-,,,,,,,,,
学校,がっこう,0,學校,2,02-1,名詞,-,-,-,,,,,,,,,
会社,かいしゃ,0,公司,2,02-1,名詞,-,-,-,,,,,,,,,
建物,たてもの,2,建築物,2,02-1,名詞,-,-,-,,,,,,,,,
郵便局,ゆうびんきょく,3,郵局,2,02-1,名詞,-,-,-,,,,,,,,,
銀行,ぎんこう,0,銀行,2,02-1,名詞,-,-,-,,,,,,,,,
病院,びょういん,0,醫院,2,02-1,名詞,-,-,-,,,,,,,,,
家,いえ,2,家；房子,2,02-1,名詞,-,-,-,,,,,,,,,
キッチン,-,1,廚房,2,02-1,名詞,-,-,-,,,,,,,,,
トイレ,-,1,廁所,2,02-1,名詞,-,-,-,,,,,,,,,
シャワー室,しゃわーしつ,2,淋浴室,2,02-1,名詞,-,-,-,,,,,,,,,
コンピュータ室,こんぴゅーたしつ,5,電腦室,2,02-1,名詞,-,-,-,,,,,,,,,
どこ,-,1,哪裡,2,02-2,名詞,-,-,-,,,,,,,,,
どうも,-,1,謝謝,2,02-2,句子,-,-,-,,,,,,,,,
さくら,-,0,櫻花,2,02-2,名詞,-,-,-,,,,,,,,,
ホール,-,1,大廳,2,02-2,名詞,-,-,-,,,,,,,,,
駅,えき,1,車站,2,02-2,名詞,-,-,-,,,,,,,,,
