term,reading,pitch_accent,definition,lesson_id,句型,詞性,"動詞
分類","動詞
辭書形","辭書形
重音",,,,,,,,,
いつ,-,1,什麼時候,4,04-7,名詞,-,-,-,,,,,,,,,
鎌倉,かまくら,0,鐮倉(地名),4,04-7,名詞,-,-,-,,,,,,,,,
どうぞ,-,1,請收下,4,04-7,句子,-,-,-,,,,,,,,,
お寺,おてら,0,寺；寺院,4,04-7,名詞,-,-,-,,,,,,,,,
たくさん,-,0,很多,4,04-7,副詞,-,-,-,,,,,,,,,
浅草,あさくさ,0,淺草(地名),4,04-7,名詞,-,-,-,,,,,,,,,
上野,うえの,0,上野(地名),4,04-7,名詞,-,-,-,,,,,,,,,
動物園,どうぶつえん,4,動物園,4,04-7,名詞,-,-,-,,,,,,,,,
スカイツリー,-,5,晴空塔,4,04-7,名詞,-,-,-,,,,,,,,,
よく,-,1,經常,4,04-7,副詞,-,-,-,,,,,,,,,
皆さん,みなさん,2,大家,4,04-7,名詞,-,-,-,,,,,,,,,
一緒に,いっしょに,0,一起,4,04-7,副詞,-,-,-,,,,,,,,,
雷門,かみなりもん,4,雷門,4,04-7,名詞,-,-,-,,,,,,,,,
わあ,-,1,哇(表驚訝),4,04-c,感嘆詞,-,-,-,,,,,,,,,
大好き,だいすき,1,最喜歡的；很喜歡的,4,04-c,ナ形容詞,-,-,-,,,,,,,,,
どうもありがとうございます,-,-,非常感謝,4,04-c,句子,-,-,-,,,,,,,,,
どういたしまして,-,-,不客氣,4,04-c,句子,-,-,-,,,,,,,,,
カレンダー,-,2,日曆；月曆；年曆,4,04-g,名詞,-,-,-,,,,,,,,,
～年,～ねん,-,～年,4,04-g,量詞,-,-,-,,,,,,,,,
何年,なんねん,1,幾年,4,04-g,名詞,-,-,-,,,,,,,,,
月,つき,2,月亮；月球；月份,4,04-g,名詞,-,-,-,,,,,,,,,
先々月,せんせんげつ,3,上上個月,4,04-g,名詞,-,-,-,,,,,,,,,
先月,せんげつ,1,上個月,4,04-g,名詞,-,-,-,,,,,,,,,
今月,こんげつ,0,這個月,4,04-g,名詞,-,-,-,,,,,,,,,
来月,らいげつ,1,下個月,4,04-g,名詞,-,-,-,,,,,,,,,
再来月,さらいげつ,2,下下個月,4,04-g,名詞,-,-,-,,,,,,,,,
おととし,-,2,前年,4,04-g,名詞,-,-,-,,,,,,,,,
去年,きょねん,1,去年,4,04-g,名詞,-,-,-,,,,,,,,,
今年,ことし,0,今年,4,04-g,名詞,-,-,-,,,,,,,,,
来年,らいねん,0,明年,4,04-g,名詞,-,-,-,,,,,,,,,
再来年,さらいねん,0,後年,4,04-g,名詞,-,-,-,,,,,,,,,
何歳,なんさい,1,幾歲,4,04-g,名詞,-,-,-,,,,,,,,,
新宿,しんじゅく,0,新宿(地名),4,04-g,名詞,-,-,-,,,,,,,,,
年齢,ねんれい,0,年齡,4,04-g,名詞,-,-,-,,,,,,,,,
夏休み,なつやすみ,3,暑假,5,05-1,名詞,-,-,-,,,,,,,,,
冬休み,ふゆやすみ,3,寒假,5,05-1,名詞,-,-,-,,,,,,,,,
～間,～かん,-,～間；～期間,5,05-2,後綴,-,-,-,,,,,,,,,
～ぐらい／くらい,-,-,大約(～量)；(～量)左右,5,05-2,後綴,-,-,-,,,,,,,,,
どのぐらい／どのくらい,-,0,多久；多少,5,05-2,副詞,-,-,-,,,,,,,,,
～時間,～じかん,-,～小時,5,05-2,量詞,-,-,-,,,,,,,,,
～年（間）,～ねん（かん）,-,～年,5,05-2,量詞,-,-,-,,,,,,,,,
旅行します,りょこうします,5,旅行,5,05-2,動詞,3,旅行する,0,,,,,,,,,
～週間,～しゅうかん,-,～週；～個禮拜,5,05-2,量詞,-,-,-,,,,,,,,,
練習します,れんしゅうします,6,練習,5,05-2,動詞,3,練習する,0,,,,,,,,,
～日（間）,～にち（かん）／～か（かん）,-,～天,5,05-2,量詞,-,-,-,,,,,,,,,
バス,-,1,公車；客運,5,05-3,名詞,-,-,-,,,,,,,,,
電車,でんしゃ,0,電車；火車,5,05-3,名詞,-,-,-,,,,,,,,,
地下鉄,ちかてつ,0,地鐵,5,05-3,名詞,-,-,-,,,,,,,,,
新幹線,しんかんせん,3,新幹線,5,05-3,名詞,-,-,-,,,,,,,,,
飛行機,ひこうき,2,飛機,5,05-3,名詞,-,-,-,,,,,,,,,
船,ふね,1,船,5,05-3,名詞,-,-,-,,,,,,,,,
タクシー,-,1,計程車,5,05-3,名詞,-,-,-,,,,,,,,,
自転車,じてんしゃ,2,腳踏車；自行車,5,05-3,名詞,-,-,-,,,,,,,,,
歩いて,あるいて,2,步行；徒步,5,05-3,動詞,1,歩く*,2,,,,,,,,,
東京,とうきょう,0,東京(地名),5,05-3,名詞,-,-,-,,,,,,,,,
大阪,おおさか,0,大阪(地名),5,05-3,名詞,-,-,-,,,,,,,,,
空港,くうこう,0,機場,5,05-3,名詞,-,-,-,,,,,,,,,
かかります,-,4,花費,5,05-4,動詞,1,かかる,2,,,,,,,,,
札幌,さっぽろ,0,札幌(地名),5,05-4,名詞,-,-,-,,,,,,,,,
広島,ひろしま,0,廣島(地名),5,05-4,名詞,-,-,-,,,,,,,,,
ロンドン,-,1,倫敦(地名),5,05-4,名詞,-,-,-,,,,,,,,,
サンパウロ,-,3,聖保羅(地名),5,05-4,名詞,-,-,-,,,,,,,,,
えっ,-,1,欸(表驚訝或懷疑),5,05-4,感嘆詞,-,-,-,,,,,,,,,
ソウル,-,1,首爾(地名),5,05-4,名詞,-,-,-,,,,,,,,,
どう,-,1,如何；怎麼樣,5,05-5,副詞,-,-,-,,,,,,,,,
いい,-,1,好的；可以的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
悪い,わるい,2,不好的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
やさしい,-,0,平易近人的；簡單的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
難しい,むずかしい,0,困難的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
楽しい,たのしい,3,開心的；有趣的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
面白い,おもしろい,4,有趣的；逗趣的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
つまらない,-,3,無聊的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
忙しい,いそがしい,4,忙碌的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
熱い,あつい,2,(物體)熱的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
冷たい,つめたい,0,(物體)冰冷的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
重い,おもい,0,重的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
軽い,かるい,0,輕的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
長い,ながい,2,長的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
短い,みじかい,3,短的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
速い,はやい,2,快的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
早い,はやい,2,早的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
遅い,おそい,0,晚的；慢的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
近い,ちかい,2,近的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
遠い,とおい,0,遠的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
季節,きせつ,1,季節,5,05-5,名詞,-,-,-,,,,,,,,,
春,はる,1,春天,5,05-5,名詞,-,-,-,,,,,,,,,
夏,なつ,2,夏天,5,05-5,名詞,-,-,-,,,,,,,,,
秋,あき,1,秋天,5,05-5,名詞,-,-,-,,,,,,,,,
冬,ふゆ,2,冬天,5,05-5,名詞,-,-,-,,,,,,,,,
温かい,あたたかい,4,(物體)溫暖的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
暖かい,あたたかい,4,(天氣)溫暖的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
暑い,あつい,2,(天氣)熱的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
涼しい,すずしい,3,涼爽的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
あまり,-,3,(不)太；(不)太常,5,05-5,副詞,-,-,-,,,,,,,,,
生活します,せいかつします,6,生活,5,05-5,動詞,3,生活する,0,,,,,,,,,
北海道,ほっかいどう,3,北海道(地名),5,05-5,名詞,-,-,-,,,,,,,,,
沖縄,おきなわ,0,沖繩(地名),5,05-5,名詞,-,-,-,,,,,,,,,
どうですか,-,1,怎麼樣呢(評價),5,05-5,句子,-,-,-,,,,,,,,,
少し,すこし,2,有一點；稍微；少許,5,05-5,副詞,-,-,-,,,,,,,,,
アパート,-,2,公寓,5,05-5,名詞,-,-,-,,,,,,,,,
うるさい,-,3,吵鬧的；煩的,5,05-5,イ形容詞,-,-,-,,,,,,,,,
とても,-,0,非常,5,05-5,副詞,-,-,-,,,,,,,,,
全然,ぜんぜん,0,完全(不),5,05-5,副詞,-,-,-,,,,,,,,,
天気,てんき,1,天氣,5,05-6,名詞,-,-,-,,,,,,,,,
天気がいい,てんきがいい,-,天氣很好,5,05-6,詞組,-,-,-,,,,,,,,,
しかし,-,2,但是；不過,5,05-7,連接詞,-,-,-,,,,,,,,,
それから,-,0,然後；接著,5,05-7,連接詞,-,-,-,,,,,,,,,
問題,もんだい,0,問題；題目,5,05-7,名詞,-,-,-,,,,,,,,,
片仮名,かたかな,3,片假名,5,05-7,名詞,-,-,-,,,,,,,,,
どうでしたか,-,1,怎麼樣呢(體驗),5,05-7,句子,-,-,-,,,,,,,,,
海,うみ,1,海,5,05-7,名詞,-,-,-,,,,,,,,,
まず,-,1,首先,5,05-7,連接詞,-,-,-,,,,,,,,,
疲れます,つかれます,4,疲累；疲倦,5,05-7,動詞,2,疲れる,3,,,,,,,,,
でも,-,1,但是,5,05-7,連接詞,-,-,-,,,,,,,,,
～か月（間）,～かげつ（かん）,-,～個月,5,05-g,量詞,-,-,-,,,,,,,,,
～分（間）,～ふん（かん）,-,～分（鐘）,5,05-g,量詞,-,-,-,,,,,,,,,
～秒（間）,～びょう（かん）,-,～秒（鐘）,5,05-g,量詞,-,-,-,,,,,,,,,
ハイキング,-,1,健行；郊遊,5,05-g,名詞,-,-,-,,,,,,,,,
あります,-,3,(植物、物品等)有，在；舉辦,6,06-1,動詞,1,ある,1,,,,,,,,,
います,-,2,(人類、動物等)有，在,6,06-1,動詞,2,いる,0,,,,,,,,,
中,なか,1,裡面,6,06-1,名詞,-,-,-,,,,,,,,,
ボール,-,0,球,6,06-1,名詞,-,-,-,,,,,,,,,
上,うえ,0,上面,6,06-1,名詞,-,-,-,,,,,,,,,
下,した,0,下面,6,06-1,名詞,-,-,-,,,,,,,,,
外,そと,1,外面,6,06-1,名詞,-,-,-,,,,,,,,,
前,まえ,1,前面,6,06-1,名詞,-,-,-,,,,,,,,,
後ろ,うしろ,0,後面,6,06-1,名詞,-,-,-,,,,,,,,,
隣,となり,0,旁邊；隔壁,6,06-1,名詞,-,-,-,,,,,,,,,
間,あいだ,0,之間,6,06-1,名詞,-,-,-,,,,,,,,,
いす,-,0,椅子,6,06-1,名詞,-,-,-,,,,,,,,,
ベッド,-,1,床,6,06-1,名詞,-,-,-,,,,,,,,,
テーブル,-,0,桌子；餐桌,6,06-1,名詞,-,-,-,,,,,,,,,
財布,さいふ,0,錢包,6,06-1,名詞,-,-,-,,,,,,,,,
ゴミ箱,ごみばこ,0,垃圾桶,6,06-1,名詞,-,-,-,,,,,,,,,
本棚,ほんだな,1,書架；書櫃,6,06-1,名詞,-,-,-,,,,,,,,,
木,き,1,樹木；木頭,6,06-1,名詞,-,-,-,,,,,,,,,
男の子,おとこのこ,3,男孩,6,06-1,名詞,-,-,-,,,,,,,,,
魚屋,さかなや,0,魚店,6,06-1,名詞,-,-,-,,,,,,,,,
池,いけ,2,池子,6,06-1,名詞,-,-,-,,,,,,,,,
ベンチ,-,1,長椅,6,06-1,名詞,-,-,-,,,,,,,,,
近く,ちかく,1,附近,6,06-1,名詞,-,-,-,,,,,,,,,
女の人,おんなのひと,6,女人,6,06-1,名詞,-,-,-,,,,,,,,,
鳥,とり,0,鳥；雞,6,06-1,名詞,-,-,-,,,,,,,,,
お金,おかね,0,錢,6,06-2,名詞,-,-,-,,,,,,,,,
携帯電話,けいたいでんわ,5,手機,6,06-2,名詞,-,-,-,,,,,,,,,
スマホ,-,0,智慧型手機,6,06-2,名詞,-,-,-,,,,,,,,,
いくつ,-,1,幾個；幾歲,6,06-3,名詞,-,-,-,,,,,,,,,
何人,なんにん,1,幾人,6,06-3,名詞,-,-,-,,,,,,,,,
～人,～にん,-,～人,6,06-3,量詞,-,-,-,,,,,,,,,
～本,～ほん,-,～支；～根；～瓶,6,06-3,量詞,-,-,-,,,,,,,,,
～枚,～まい,-,～張；～枚；～片,6,06-3,量詞,-,-,-,,,,,,,,,
～匹,～ひき,-,～隻,6,06-3,量詞,-,-,-,,,,,,,,,
～冊,～さつ,-,～本,6,06-3,量詞,-,-,-,,,,,,,,,
～台,～だい,-,～台,6,06-3,量詞,-,-,-,,,,,,,,,
話,はなし,3,話；談話；話題；事情；故事,6,06-3,名詞,-,-,-,,,,,,,,,
四季,しき,2,四季,6,06-3,名詞,-,-,-,,,,,,,,,
冷蔵庫,れいぞうこ,3,冰箱,6,06-3,名詞,-,-,-,,,,,,,,,
鉛筆,えんぴつ,0,鉛筆,6,06-3,名詞,-,-,-,,,,,,,,,
男の人,おとこのひと,6,男人,6,06-3,名詞,-,-,-,,,,,,,,,
庭,にわ,0,庭院；院子,6,06-3,名詞,-,-,-,,,,,,,,,
大人,おとな,0,大人,6,06-3,名詞,-,-,-,,,,,,,,,
大勢,おおぜい,0,大量的(人),6,06-3,副詞,-,-,-,,,,,,,,,
～階,～かい,-,～樓,6,06-4,量詞,-,-,-,,,,,,,,,
コピー室,こぴーしつ,2,影印室,6,06-4,名詞,-,-,-,,,,,,,,,
あの／あのう,-,0,那個(用於引起聽者注意),6,06-4,感嘆詞,-,-,-,,,,,,,,,
カフェ,-,1,咖啡廳,6,06-4,名詞,-,-,-,,,,,,,,,
売り場,うりば,0,賣場；販賣區,6,06-4,名詞,-,-,-,,,,,,,,,
地下,ちか,1,地下,6,06-4,名詞,-,-,-,,,,,,,,,
切手,きって,0,郵票,6,06-4,名詞,-,-,-,,,,,,,,,
いちご,-,0,草莓,6,06-4,名詞,-,-,-,,,,,,,,,
ください,-,3,請給(我),6,06-5,動詞,1,くださる,3,,,,,,,,,
はがき,-,0,明信片,6,06-5,名詞,-,-,-,,,,,,,,,
Tシャツ,ティーシャツ,0,T恤,6,06-5,名詞,-,-,-,,,,,,,,,
～個,～こ,-,～個；～顆,6,06-5,量詞,-,-,-,,,,,,,,,
紙,かみ,2,紙,6,06-5,名詞,-,-,-,,,,,,,,,
チョコレート,-,3,巧克力,6,06-5,名詞,-,-,-,,,,,,,,,
店員,てんいん,0,店員,6,06-5,名詞,-,-,-,,,,,,,,,
いらっしゃいませ,-,6,歡迎光臨,6,06-5,句子,-,-,-,,,,,,,,,
お客さん,おきゃくさん,0,客人(敬稱),6,06-5,名詞,-,-,-,,,,,,,,,
全部で,ぜんぶで,1,總共；合計,6,06-5,詞組,-,-,-,,,,,,,,,
エアコン,-,0,空調；冷氣,6,06-5,名詞,-,-,-,,,,,,,,,
パソコン,-,0,電腦,6,06-5,名詞,-,-,-,,,,,,,,,
国土,こくど,1,國土；領土,6,06-5,名詞,-,-,-,,,,,,,,,
東アジア,ひがしあじあ,4,東亞,6,06-5,名詞,-,-,-,,,,,,,,,
島,しま,2,島,6,06-5,名詞,-,-,-,,,,,,,,,
本州,ほんしゅう,1,本州,6,06-5,名詞,-,-,-,,,,,,,,,
四国,しこく,2,四國,6,06-5,名詞,-,-,-,,,,,,,,,
九州,きゅうしゅう,1,九州,6,06-5,名詞,-,-,-,,,,,,,,,
～パーセント,-,3,百分之～,6,06-5,量詞,-,-,-,,,,,,,,,
平野,へいや,0,平原,6,06-5,名詞,-,-,-,,,,,,,,,
人口,じんこう,0,人口,6,06-5,名詞,-,-,-,,,,,,,,,
首都,しゅと,1,首都,6,06-5,名詞,-,-,-,,,,,,,,,
東,ひがし,0,東,6,06-5,名詞,-,-,-,,,,,,,,,
北,きた,0,北,6,06-5,名詞,-,-,-,,,,,,,,,
西,にし,0,西,6,06-5,名詞,-,-,-,,,,,,,,,
南,みなみ,0,南,6,06-5,名詞,-,-,-,,,,,,,,,
ヨーロッパ,-,3,歐洲,6,06-5,名詞,-,-,-,,,,,,,,,
アフリカ,-,0,非洲,6,06-5,名詞,-,-,-,,,,,,,,,
アジア,-,1,亞洲,6,06-5,名詞,-,-,-,,,,,,,,,
オセアニア,-,0,大洋洲,6,06-5,名詞,-,-,-,,,,,,,,,
北アメリカ,きたあめりか,3,北美洲,6,06-5,名詞,-,-,-,,,,,,,,,
南アメリカ,みなみあめりか,4,南美洲,6,06-5,名詞,-,-,-,,,,,,,,,
文房具屋,ぶんぼうぐや,0,文具店,6,06-5,名詞,-,-,-,,,,,,,,,
電気屋,でんきや,0,電器店,6,06-5,名詞,-,-,-,,,,,,,,,
パン屋,ぱんや,1,麵包店,6,06-5,名詞,-,-,-,,,,,,,,,
コッペパン,-,0,熱狗堡麵包,6,06-5,名詞,-,-,-,,,,,,,,,
食パン,しょくぱん,0,吐司,6,06-5,名詞,-,-,-,,,,,,,,,
発表します,はっぴょうします,6,發表；宣布,6,06-c,名詞,-,-,-,,,,,,,,,
～つ,-,-,～個；～份,6,06-g,量詞,-,-,-,,,,,,,,,
